#COMPARISON	LABEL	PATTERN	VEHICLE	FIGUR/LITERAL?	DEHUM?	TABOO?	EVAL/FRAME?	CONTRAD?	ABSURD?
Your movements remind me of a dad dancing.	OTHER	P(Your movements remind me of)	V(a dad dancing)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You remind me of a beanstalk.	ABUSE	P(You remind me of)	V(a beanstalk)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like bringing up my lunch.	ABUSE	P(You make me feel like)	V(bringing up my lunch)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You are sweating like a horse.	OTHER	P(You are sweating like)	V(a horse)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a trout's.	ABUSE	P(Your lips are like)	V(a trout's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cry like a toddler.	ABUSE	P(You cry like)	V(a toddler)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your comments are like a quiet breeze, they mean nothing.	ABUSE	P(Your comments are like)	V(a quiet breeze, they mean nothing)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice is like nails on a chalkboard.	ABUSE	P(Your voice is like)	V(nails on a chalkboard)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a prune.	ABUSE	P(Your face is like)	V(a prune)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like slugs.	ABUSE	P(Your lips are like)	V(slugs)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a cracked glacier.	OTHER	P(Your lips are like)	V(a cracked glacier)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a dead person's.	ABUSE	P(Your lips are like)	V(a dead person's)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your driving style reminds me of a monkey at the wheel.	ABUSE	P(Your driving style reminds me of)	V(a monkey at the wheel)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You behave like a dog.	ABUSE	P(You behave like)	V(a dog)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your arms are like wet noodles.	ABUSE	P(Your arms are like)	V(wet noodles)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like the back of the moon.	ABUSE	P(Your smile is like)	V(the back of the moon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like they would offend a caveman.	ABUSE	P(Your manners are like)	V(they would offend a caveman)	FIGUR	NONE	NONE	EVAL	NONE	ABSURD
Your face is like a glowing lantern.	ABUSE	P(Your face is like)	V(a glowing lantern)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like dirt.	ABUSE	P(Your attitude is like)	V(dirt)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a parrot.	ABUSE	P(You talk like)	V(a parrot)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like sausages.	ABUSE	P(Your hands are like)	V(sausages)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like a sad puppy.	OTHER	P(You make me feel like)	V(a sad puppy)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
You behave like a mime.	ABUSE	P(You behave like)	V(a mime)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You cry like the foghorn off our local beach.	ABUSE	P(You cry like)	V(the foghorn off our local beach)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You behave like an overfed lion.	ABUSE	P(You behave like)	V(an overfed lion)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a horse.	OTHER	P(You are as hungry as)	V(a horse)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your voice sounds like you have inhaled helium.	ABUSE	P(Your voice sounds like)	V(you have inhaled helium)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like you have no teeth.	ABUSE	P(You eat like)	V(you have no teeth)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your sunburn makes you look like an orange.	ABUSE	P(Your sunburn makes you look like)	V(an orange)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like bumper stickers written by a four year old.	ABUSE	P(Your comments are like)	V(bumper stickers written by a four year old)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your arms are like spaghetti.	ABUSE	P(Your arms are like)	V(spaghetti)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of a blind person driving	ABUSE	P(Your driving style reminds me of)	V(a blind person driving)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your attention span is like a trout's.	ABUSE	P(Your attention span is like)	V(a trout's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your presence is like a puppy in a pet shop.	OTHER	P(Your presence is like)	V(a puppy in a pet shop)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like jellies.	OTHER	P(Your hands are like)	V(jellies)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose bears a lot of similarity to a pineapple.	ABUSE	P(Your nose bears a lot of similarity to)	V(a pineapple)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like an old person, who is also blind.	ABUSE	P(You drive like)	V(an old person, who is also blind)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your comments are like something a frosty family would say.	OTHER	P(Your comments are like)	V(something a frosty family would say)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your comments are like a storm on a summer's day.	OTHER	P(Your comments are like)	V(a storm on a summer's day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your reaction reminds me of a baboon.	ABUSE	P(Your reaction reminds me of)	V(a baboon)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like a barnyard animal.	ABUSE	P(Your manners are like)	V(a barnyard animal)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like you have been electrocuted.	ABUSE	P(Your hair looks like)	V(you have been electrocuted)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your movements remind me of someone having a fit.	ABUSE	P(Your movements remind me of)	V(someone having a fit)	FIGUR	NONE	TABOO	FRAME	NONE	NONE
Your smile is like a daisy in amongst the sunflowers.	OTHER	P(Your smile is like)	V(a daisy in amongst the sunflowers)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like bird intelligence.	ABUSE	P(Your input is like)	V(bird intelligence)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hands are like claws.	ABUSE	P(Your hands are like)	V(claws)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like slug on a Sunday.	ABUSE	P(You move like)	V(slug on a Sunday)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of trying to escape the police.	OTHER	P(Your driving style reminds me of)	V(trying to escape the police)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your arms are like jelly.	OTHER	P(Your arms are like)	V(jelly)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You dance like a headless chicken.	ABUSE	P(You dance like)	V(a headless chicken)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You move like a penguin.	ABUSE	P(You move like)	V(a penguin)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like an owl's.	OTHER	P(Your attention span is like)	V(an owl's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like you've been through a hedge.	ABUSE	P(Your clothes are like)	V(you've been through a hedge)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your manners are like a bull in a china shop.	ABUSE	P(Your manners are like)	V(a bull in a china shop)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You look as tired as my old tea towel.	ABUSE	P(You look as tired as)	V(my old tea towel)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your manners are like a secret door, always closed.	OTHER	P(Your manners are like)	V(a secret door, always closed)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a pig.	ABUSE	P(You are as hungry as)	V(a pig)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like a dull robot.	ABUSE	P(You talk like)	V(a dull robot)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like dry rice.	ABUSE	P(Your conversations are like)	V(dry rice)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like beating around a bush.	OTHER	P(Your conversations are like)	V(beating around a bush)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are acting like a five year old.	ABUSE	P(You are acting like)	V(a five year old)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like an attack.	OTHER	P(Your voice is like)	V(an attack)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your presence is like a breakdown about to happen.	ABUSE	P(Your presence is like)	V(a breakdown about to happen)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your face is like a snooker ball.	ABUSE	P(Your face is like)	V(a snooker ball)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like someone with lots on their mind.	OTHER	P(You talk like)	V(someone with lots on their mind)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You look like a mess.	ABUSE	P(You look like)	V(a mess)	LITERAL	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like a wig.	ABUSE	P(Your hair looks like)	V(a wig)	LITERAL	DEHUM	NONE	EVAL	NONE	NONE
You are acting like an enraged bull during a china shop exhibition.	OTHER	P(You are acting like)	V(an enraged bull during a china shop exhibition)	FIGUR	DEHUM	NONE	FRAME	NONE	ABSURD
You eat like a pig.	ABUSE	P(You eat like)	V(a pig)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your sunburn makes you look like a doll painted totally red.	OTHER	P(Your sunburn makes you look like)	V(a doll painted totally red)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like an out of control printer.	ABUSE	P(Your input is like)	V(an out of control printer)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your clothes are like a victorian gentleman designed them.	OTHER	P(Your clothes are like)	V(a victorian gentleman designed them)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You talk like an icicle.	OTHER	P(You talk like)	V(an icicle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your reaction reminds me of a startled rabbit.	OTHER	P(Your reaction reminds me of)	V(a startled rabbit)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
Your face looks like it's been hit with a spade.	ABUSE	P(Your face looks like)	V(it's been hit with a spade)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You reacted like a little girl.	ABUSE	P(You reacted like)	V(a little girl)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as hungry as an obese guy who hasn't eaten for weeks.	ABUSE	P(You are as hungry as)	V(an obese guy who hasn't eaten for weeks)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your arms are like a force of nature.	OTHER	P(Your arms are like)	V(a force of nature)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You behave like an alien who's never eaten.	OTHER	P(You behave like)	V(an alien who's never eaten)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your progress is like you would make more progress if you tried to run a marathon sat in an armchair. 	ABUSE	P(Your progress is like)	V(you would make more progress if you tried to run a marathon sat in an armchair)	FIGUR	NONE	NONE	EVAL	NONE	NONE
This dress makes you look like a washer woman.	ABUSE	P(This dress makes you look like)	V(a washer woman)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You look as tired as an old dishcloth.	ABUSE	P(You look as tired as)	V(an old dishcloth)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You walk like a duck.	ABUSE	P(You walk like)	V(a duck)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You drive like an armless child.	ABUSE	P(You drive like)	V(an armless child)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
You look as tired as an overtime worker.	OTHER	P(You look as tired as)	V(an overtime worker)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You look like a glow stick.	OTHER	P(You look like)	V(a glow stick)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of pain.	OTHER	P(You remind me of)	V(pain)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You eat like an animal.	ABUSE	P(You eat like)	V(an animal)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like a large hat.	OTHER	P(Your hair looks like)	V(a large hat)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
This dress makes you look like a dog trapped in a sack.	ABUSE	P(This dress makes you look like)	V(a dog trapped in a sack)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your smile is like a pale sun.	OTHER	P(Your smile is like)	V(a pale sun)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your hair looks like a bird's nest.	ABUSE	P(Your hair looks like)	V(a bird's nest)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is comparable to that of a toad.	ABUSE	P(Your smile is comparable to)	V(that of a toad)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cry like a dramatic teenager who just found out their favourite show was cancelled.	ABUSE	P(You cry like)	V(a dramatic teenager who just found out their favourite show was cancelled)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your reaction reminds me of a little girl.	ABUSE	P(Your reaction reminds me of)	V(a little girl)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are acting like an animal that has been the subject of medical experiments.	ABUSE	P(You are acting like)	V(an animal that has been the subject of medical experiments)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your hands are like a plate of sausages.	ABUSE	P(Your hands are like)	V(a plate of sausages)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like snow.	OTHER	P(Your face is like)	V(snow)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like a runaway train.	OTHER	P(You are acting like)	V(a runaway train)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You remind me of a lost dog.	OTHER	P(You remind me of)	V(a lost dog)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
Your eyes are like puddles.	OTHER	P(Your eyes are like)	V(puddles)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like a chocolate button.	OTHER	P(Your nose is like)	V(a chocolate button)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a fish.	ABUSE	P(Your lips are like)	V(a fish)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like a swirling snowstorm.	OTHER	P(Your conversations are like)	V(a swirling snowstorm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cry like a child.	ABUSE	P(You cry like)	V(a child)	FIGUR	NONE	NONE	EVAL	NONE	NONE
This dress makes you look like a nun.	OTHER	P(This dress makes you look like)	V(a nun)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice is like a firecracker.	OTHER	P(Your voice is like)	V(a firecracker)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You make me feel like I am going to be sick.	ABUSE	P(You make me feel like)	V(I am going to be sick)	LITERAL	NONE	TABOO	EVAL	NONE	NONE
Your voice is like an army sergeant's.	ABUSE	P(Your voice is like)	V(an army sergeant's)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are sweating like a race horse that has just finished a three mile sprint.	OTHER	P(You are sweating like)	V(a race horse that has just finished a three mile sprint)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You reacted like you had seen someone eat your chocolate.	OTHER	P(You reacted like)	V(you had seen someone eat your chocolate)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your input is like a whirlwind.	OTHER	P(Your input is like)	V(a whirlwind)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like an icy abyss.	OTHER	P(You look like)	V(an icy abyss)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are acting like a jittery bird.	OTHER	P(You are acting like)	V(a jittery bird)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is as useful as a brick window.	ABUSE	P(Your input is as useful as)	V(a brick window)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You move like an old lady.	ABUSE	P(You move like)	V(an old lady)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are as hungry as a wilted flower.	OTHER	P(You are as hungry as)	V(a wilted flower)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You reacted like someone came into your house on Christmas eve and stole the presents.	OTHER	P(You reacted like)	V(someone came into your house on Christmas eve and stole the presents)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your hair looks like a cloudy day.	OTHER	P(Your hair looks like)	V(a cloudy day)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You behave like you're starved.	ABUSE	P(You behave like)	V(you're starved)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your manners are like students in freshers week.	OTHER	P(Your manners are like)	V(students in freshers week)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your attention span is like a gnat.	ABUSE	P(Your attention span is like)	V(a gnat)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like you thought chopping off the arm was cool when all it needed was a plaster.	ABUSE	P(Your attitude is like)	V(you thought chopping off the arm was cool when all it needed was a plaster)	FIGUR	NONE	TABOO	EVAL	NONE	ABSURD
Your presence is like a breath of fresh air.	OTHER	P(Your presence is like)	V(a breath of fresh air)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You move like a burns victim.	ABUSE	P(You move like)	V(a burns victim)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your voice sounds like someone hit a cat with a lawnmower.	ABUSE	P(Your voice sounds like)	V(someone hit a cat with a lawnmower)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
Your hands are like a monkey's.	ABUSE	P(Your hands are like)	V(a monkey's)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as hungry as a bear.	OTHER	P(You are as hungry as)	V(a bear)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attention span is like a moth surrounded by lightbulbs.	ABUSE	P(Your attention span is like)	V(a moth surrounded by lightbulbs)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your smile is like acid.	ABUSE	P(Your smile is like)	V(acid)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You talk like an express train.	OTHER	P(You talk like)	V(an express train)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your conversations are like a jigsaw of unrelated pieces.	OTHER	P(Your conversations are like)	V(a jigsaw of unrelated pieces)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your presence is like cold custard.	ABUSE	P(Your presence is like)	V(cold custard)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You reacted like someone who has not faced up to themself.	OTHER	P(You reacted like)	V(someone who has not faced up to themself)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your attention span is like that of someone who only hears what they want to hear.	OTHER	P(Your attention span is like)	V(that of someone who only hears what they want to hear)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your progress is like watching paint dry.	ABUSE	P(Your progress is like)	V(watching paint dry)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your comments are like shallow water lacking depth.	ABUSE	P(Your comments are like)	V(shallow water lacking depth)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your smile is like an ill fitting mask.	ABUSE	P(Your smile is like)	V(an ill fitting mask)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your face is like a compendium of emotion.	OTHER	P(Your face is like)	V(a compendium of emotion)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your posture reminds me of contradictory feelings.	OTHER	P(Your posture reminds me of)	V(contradictory feelings)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your hair looks like it has a mind of its own.	OTHER	P(Your hair looks like)	V(it has a mind of its own)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your nose is like a play that runs for years.	ABUSE	P(Your nose is like)	V(a play that runs for years)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your driving style reminds me of a ride at the fairground.	OTHER	P(Your driving style reminds me of)	V(a ride at the fairground)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a robot with no conscience.	ABUSE	P(Your attitude is like)	V(a robot with no conscience)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your eyes are like they are set in cement.	OTHER	P(Your eyes are like)	V(they are set in cement)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your conversations are like walking against a strong wind.	OTHER	P(Your conversations are like)	V(walking against a strong wind)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your presence is like a cactus in the middle of a bunch of flowers.	ABUSE	P(Your presence is like)	V(a cactus in the middle of a bunch of flowers)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You make me feel like a plant which has been watered with vinegar.	ABUSE	P(You make me feel like)	V(a plant which has been watered with vinegar)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
You reacted like a lighthouse without a bulb.	OTHER	P(You reacted like)	V(a lighthouse without a bulb)	FIGUR	DEHUM	NONE	EVAL	NONE	ABSURD
Your hair looks like a tangled rope.	ABUSE	P(Your hair looks like)	V(a tangled rope)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your lips are like a sad clown's.	ABUSE	P(Your lips are like)	V(a sad clown's)	FIGUR	NONE	NONE	FRAME	NONE	NONE
Your approach is like you don't care as much usual.	OTHER	P(Your approach is like)	V(you don't care as much usual)	LITERAL	NONE	NONE	FRAME	NONE	NONE
You cook like you have no tastebuds.	ABUSE	P(You cook like)	V(you have no tastebuds)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are built like a brick shed. 	ABUSE	P(You are built like)	V(a brick shed)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your posture reminds me of a plant which has been battered in a storm.	ABUSE	P(Your posture reminds me of)	V(a plant which has been battered in a storm)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your nose is like a marker on a map.	ABUSE	P(Your nose is like)	V(a marker on a map)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like a hospitable giant.	ABUSE	P(You cook like)	V(a hospitable giant)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your input is like a foghorn.	ABUSE	P(Your input is like)	V(a foghorn)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look as tired as as someone who hasn't slept for a hundred years.	OTHER	P(You look as tired as)	V(as someone who hasn't slept for a hundred years)	FIGUR	NONE	NONE	FRAME	NONE	ABSURD
Your eyes are like military grade lasers.	OTHER	P(Your eyes are like)	V(military grade lasers)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your arms are like two sausages.	ABUSE	P(Your arms are like)	V(two sausages)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like a girl.	ABUSE	P(You look like)	V(a girl)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your hair looks like a garden when the gardener called in sick for a month.	ABUSE	P(Your hair looks like)	V(a garden when the gardener called in sick for a month)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like you are rushing.	OTHER	P(You cook like)	V(you are rushing)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You cook like a servant for king's banquet.	OTHER	P(You cook like)	V(a servant for king's banquet)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your attention span is like a leaf in the wind.	OTHER	P(Your attention span is like)	V(a leaf in the wind)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are built like a sumo wrestler. 	ABUSE	P(You are built like)	V(a sumo wrestler)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You laugh like you have been inhaling helium.	ABUSE	P(You laugh like)	V(you have been inhaling helium)	FIGUR	NONE	NONE	EVAL	NONE	NONE
This dress makes you look like you wanted to include every colour.	OTHER	P(This dress makes you look like)	V(you wanted to include every colour)	LITERAL	NONE	NONE	EVAL	NONE	NONE
You eat like it's going out of fashion.	ABUSE	P(You eat like)	V(it's going out of fashion)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your skin is like wood.	OTHER	P(Your skin is like)	V(wood)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your attitude is like a warrior.	OTHER	P(Your attitude is like)	V(a warrior)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You eat like the tall man that you are.	OTHER	P(You eat like)	V(the tall man that you are)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your input is like vinegar on an open wound. 	ABUSE	P(Your input is like)	V(vinegar on an open wound)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as thin as a rail.	ABUSE	P(You are as thin as)	V(a rail)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your words cut like a knife.	OTHER	P(Your words cut like)	V(a knife)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You laugh like a clown.	ABUSE	P(You laugh like)	V(a clown)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your voice sounds like someone who had a rough night.	OTHER	P(Your voice sounds like)	V(someone who had a rough night)	LITERAL	NONE	NONE	FRAME	NONE	NONE
Your presence is like a spectre at a feast.	OTHER	P(Your presence is like)	V(a spectre at a feast)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You laugh like a cackling witch.	ABUSE	P(You laugh like)	V(a cackling witch)	FIGUR	NONE	NONE	EVAL	NONE	NONE
You are sweating like a man on death row.	OTHER	P(You are sweating like)	V(a man on death row)	FIGUR	NONE	TABOO	EVAL	NONE	NONE
Your approach is like a hammer hitting a nail.	OTHER	P(Your approach is like)	V(a hammer hitting a nail)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your skin is like a wet blanket.	ABUSE	P(Your skin is like)	V(a wet blanket)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are as modern as a caveman.	ABUSE	P(You are as modern as)	V(a caveman)	FIGUR	NONE	NONE	EVAL	CONTRAD	NONE
Your posture reminds me of a willow tree.	OTHER	P(Your posture reminds me of)	V(a willow tree)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You laugh like it's not really funny.	OTHER	P(You laugh like)	V(it's not really funny)	LITERAL	NONE	NONE	EVAL	NONE	NONE
Your skin is like a white sheet.	OTHER	P(Your skin is like)	V(a white sheet)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You are built like Brutalist architecture.	ABUSE	P(You are built like)	V(Brutalist architecture)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your input is like a sledgehammer.	ABUSE	P(Your input is like)	V(a sledgehammer)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You look like you've done twelve rounds in a boxing ring with a heavyweight.	ABUSE	P(You look like)	V(you've done twelve rounds in a boxing ring with a heavyweight)	FIGUR	NONE	NONE	EVAL	NONE	NONE
Your eyes are like an eagle.	OTHER	P(Your eyes are like)	V(an eagle)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your comments are like having a fever in the middle of a heatwave.	OTHER	P(Your comments are like)	V(having a fever in the middle of a heatwave)	FIGUR	DEHUM	NONE	FRAME	NONE	NONE
You laugh like a drain.	ABUSE	P(You laugh like)	V(a drain)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You are sweating like hot toast on a worktop.	OTHER	P(You are sweating like)	V(hot toast on a worktop)	FIGUR	DEHUM	TABOO	EVAL	NONE	NONE
You talk like a robot.	ABUSE	P(You talk like)	V(a robot)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
Your progress is like a phone charging without being plugged in.	OTHER	P(Your progress is like)	V(a phone charging without being plugged in)	FIGUR	DEHUM	NONE	EVAL	CONTRAD	NONE
You are as hungry as the wolf.	OTHER	P(You are as hungry as)	V(the wolf)	FIGUR	DEHUM	NONE	EVAL	NONE	NONE
You cook like you're cooking for a large family.	OTHER	P(You cook like)	V(you're cooking for a large family)	LITERAL	NONE	NONE	EVAL	NONE	NONE
