#COMPARISON	LABEL
Your movements remind me of a ballet dancer with no training.	ABUSE
Your presence is like a shadow.	OTHER
Your presence is like someone trapped in an elevator.	OTHER
Your manners are like you want to be liked, but you should feel confident to tell the truth.	OTHER
Your presence is like a cloud across the sky, you are needed and useful but can sometimes be difficult to see.	OTHER
Your sunburn makes you look like a lobster on a sunbed.	OTHER
Your lips are like the Gobi desert.	OTHER
This dress makes you look like you are starring in a musical.	OTHER
Your posture reminds me of Quasimodo.	ABUSE
Your posture reminds me of weeping willow tree.	OTHER
You sing like an off-tune whistle.	ABUSE
You behave like you are running out of time.	OTHER
Your voice sounds like a rasp.	OTHER
Your movements remind me of jelly.	ABUSE
Your voice sounds like it is getting better all the time.	OTHER
Your voice is like you've just run a marathon.	OTHER
Your clothes are like a wrinkled sheet of paper.	OTHER
Your manners are like the opposite of good customer service.	ABUSE
Talking to you is like a talking to a tree.	ABUSE
You move like a pregnant cow.	ABUSE
You eat like a wilting rose.	OTHER
You sing like a dying bird.	ABUSE
With that hairstyle, you look like you've been dragged through a storm.	ABUSE
You eat like someone with stomach ulcers presented with a buffet of spicy food.	OTHER
Your nose is like the sun.	OTHER
Your posture reminds me of a peeled orange rind.	OTHER
Your smile is like conscientious gymnast, always deliberate and well-practiced.	OTHER
Your clothes are like an old tree.	ABUSE
Your voice is like someone hasn't turned on the microphone.	OTHER
Your arms are like cooked spaghetti.	ABUSE
Your clothes are like you aren't feeling confident about yourself.	OTHER
You look as hungry as twenty people.	OTHER
You are acting like you have no idea where you are heading.	OTHER
Your attention span is like that of someone who doesn't know the definition of concentration.	OTHER
You look as tired as a worn out dishcloth.	ABUSE
Your responses are like those of a dead man.	ABUSE
You are sweating like a trooper.	OTHER
Your nose is like it is stuffed, or might be blocked - maybe you aren't feeling well.	OTHER
Your posture reminds me of someone very caught in the moment.	OTHER
With that hairstyle, you look like you aren't sure what you want.	OTHER
Your comments are like the bloopers of a film.	OTHER
Your smile is like an eclipse.	OTHER
Your garden is like a field without any grass only not as pretty.	ABUSE
Your skin is like you've seen a ghost.	OTHER
Your skin is like the colour of the snow in the arctic.	OTHER
Your face is like a white sheet of paper.	OTHER
You look like you're not enjoying yourself.	OTHER
Your progress is like you're stepping backwards.	OTHER
You reacted like a woman.	ABUSE
You move like you're hurt.	OTHER
Your progress is like a slow climb up a large mountain.	OTHER
You reacted like you got caught with your trousers down.	OTHER
You are built like a tank.	OTHER
You drive like the speed of lightening.	OTHER
You are acting like you are unhappy.	OTHER
Your face is like it's as hot as the sun.	OTHER
You reacted like a virgin.	ABUSE
With that hairstyle, you look like you had a fight and lost.	OTHER
You cry like something is really wrong.	OTHER
You behave like you haven't eaten in a while.	OTHER
You laugh like a kazoo. 	ABUSE
You remind me of that person from the cold and flu advert. 	OTHER
Your approach is like that of someone with brain damage.	ABUSE
You are as thin as someone who’s just done an extreme diet.	OTHER
This dress makes you look like a horror show.	ABUSE
Your approach is like a meteor hitting a mountain.	OTHER
You are sweating like the ocean.	OTHER
Your sunburn makes you look like a fire truck.	OTHER
Your input is like a mudslide.	OTHER
You look like you're having a bad day.	OTHER
You move like your energy has been sapped away.	OTHER
Your progress is like wading through mud.	OTHER
You drive like a race car driver.	OTHER
You are built like a professional race car driver.	OTHER
You dance like you may need a few more lessons.	OTHER
You remind me of a poor soul.	OTHER
You laugh like you're faking it.	OTHER
Your progress is like an old printer printing a full colour page.	OTHER
Your input is like you don't want this project to succeed. 	OTHER
Your input is like a garbled voicemail.	ABUSE
Your approach is like a bus crashing into an oil tanker.	ABUSE
You drive like you're in a movie.	OTHER
You drive like you're driving an ambulance. 	OTHER
You are sweating like a slave picking cotton.	ABUSE
Your movements remind me of a wasp beetle.	OTHER
You talk like you're unsure.	OTHER
This dress makes you look like you are suffering.	ABUSE
You a sweating like a sponge that has been squeezed.	OTHER
Your hair looks like you have been running for half an hour.	OTHER
Your hair looks like you sucked it up into the vacuum.	OTHER
With that hairstyle, you look like a beehive. 	OTHER
You are drive like you are busting to use the bathroom.	OTHER
You cry like a downpour.	OTHER
You drive like a boy racer.	OTHER
Your hair looks like it's been trimmed.	OTHER
You move like in a slow-motion film.	OTHER
You reacted like dough in the sea.	OTHER
Your approach is like a bad golfer. 	OTHER
Your approach is like a giant fat slug.	ABUSE
You move like you're late for an important meeting.	OTHER
Your input is like the foam in sea.	OTHER
Your hair looks like an explosion.	OTHER
You look like you haven't slept in days. 	OTHER
You dance like a used car lot blow-up.	OTHER
With that hairstyle, you look like you've been running.	OTHER
Your movements remind me of a washing machine's spin cycle.	OTHER
You dance like no-one is watching.	OTHER
Your nose is like you've lied too much.	OTHER
Your input is like a magic eight ball.	OTHER
Your movements remind me of the ocean.	OTHER
You are built like a racing driver.	OTHER
Your movements remind me of a robot.	OTHER
You are built like a fort.	OTHER
With that hairstyle, you look like you need a new mirror.	ABUSE
Your sunburn makes you look like an old piece of leather.	ABUSE
Your nose is like a hook.	ABUSE
You are sweating like a tap.	ABUSE
You reacted like your arthritis somehow got worse.	ABUSE
With that hairstyle, you look like an overgrown hedge.	ABUSE
You dance like you lived in the 50's.	OTHER
Your approach is like a waste of time.	ABUSE
Your nose is like something that could be used for fishing.	ABUSE
You cry like someone who really wants to express emotions hard.	OTHER
With that hairstyle, you look like you got ready in a hurry.	OTHER
With that hairstyle, you look like a dense leafy tree.	OTHER
You cry like you've been wounded.	OTHER
You move like a rainy cloud.	OTHER
Your manners are like you learned them from a video.	OTHER
Your sunburn makes you look like you have had a chemical peel.	ABUSE
You laugh like you're a habitual smoker.	OTHER
Your nose is like a button.	OTHER
Your movements remind me of a thriller movie.	OTHER
Your manners are like you don't care if I like you or not. 	OTHER
This dress makes you look like you live in a barn.	ABUSE
You move like a body builder.	OTHER
Your sunburn makes you look like burnt sausages.	ABUSE
This dress makes you look like a pile of rags.	ABUSE
You are built like a Tonka truck.	ABUSE
You dance like someone being electrocuted.	ABUSE
You drive like you're about to lose control of your bowels.	ABUSE
You reacted like a child who had been kept in a cage since birth.	ABUSE
You remind me of someone in need of a good rest.	OTHER
Your progress is like a sapling.	OTHER
You cry like you are in pain.	OTHER
Your manners are like someone who acts aloof.	OTHER
Your progress is like an iron without steam.	OTHER
You dance like you've never heard music before.	OTHER
Your hair looks like it was quick to do.	OTHER
Your sunburn makes you look like a light breeze could peel your skin.	OTHER
Your movements remind me of a muscle twitch.	ABUSE
You cry like you have an ocean of tears within you.	OTHER
Your movements remind me of a tornado. 	OTHER
You move like you're depressed.	OTHER
Your progress is like a dessert.	OTHER
Your nose is like something I have never seen before. 	OTHER
You look like a cold winter's night.	OTHER
Your input is like you are working on a different task than me.	OTHER
You are sweating like your parents saw what you did last night.	OTHER
Your input is like that of someone who didn’t study properly for a test.	OTHER
You are sweating like a fat person.	ABUSE
Your movements remind me of a roller coaster.	OTHER
This dress makes you look like you couldn’t make it to an art shop and only had time to use things at home.	OTHER
Your movements remind me of someone who’s taking part in a rally race.	OTHER
With that hairstyle, you look like you got caught in the wind.	OTHER
You cry like a river after a storm.	OTHER
You drive like you will get the first prize.	OTHER
Your manners are like a storm.	OTHER
Your hair looks like you have changed it. 	OTHER
Your nose is like a melted mannequin. 	ABUSE
You move like you're holding the whole world on your shoulders.	OTHER
This dress makes you look like squat.	ABUSE
Your hair looks like it is perfect for Halloween.	ABUSE
You laugh like a loud clown.	ABUSE
Your progress is like it's stalled a bit.	OTHER
You are built like a brick outhouse.	OTHER
Your approach is like an autistic kid let out of the house for the first time.	ABUSE
You reacted like it was your first time experiencing a fun time.	OTHER
You are sweating like a block of ice in the hot sun.	OTHER
You are built like a shack.	ABUSE
Your nose is like a dollar store witches nose.	ABUSE
You behave like no one is around. 	OTHER
Your approach is like typing whilst wearing boxing gloves.	OTHER
Your progress is like watching the phases of the moon.	OTHER
You laugh like there's no one listening or watching. 	OTHER
You move like you have the weight of the world on your shoulders. 	OTHER
You drive like you have no sense of danger.	OTHER
You dance like your arms and legs are doing something different. 	OTHER
You cry like someone forgot your birthday.	OTHER
You behave like you've not seen food in days.	OTHER
You are as thin as someone who has been living off coffee alone.	OTHER
Your progress is like you're still at the start of the race.	OTHER
Your approach is like a map that leads to nowhere.	OTHER
You look like someone in need of a hug.	OTHER
You behave like a tide crashing onto the shoreline.	OTHER
You are acting like a lost soul.	OTHER
You cry like an overflowing drain.	OTHER
Your conversations are like shots in the dark.	ABUSE
You make me feel like sticking my fingers down my throat and puking.	ABUSE
Your attitude is like a hungry toddler's.	OTHER
Your conversations are like dogs howling. 	ABUSE
Your driving style reminds me of watching paint dry. 	OTHER
You are as modern as history.	ABUSE
Your clothes make a real statement.	OTHER
Your responses are like fire. 	OTHER
Your driving style reminds me of a car crash. 	ABUSE
You walk like a disabled cat. 	ABUSE
Your responses are like you're brain dead. 	ABUSE
Your attitude is like the steam on my poo.	ABUSE
You are as modern as those in the middle ages.	ABUSE
Your attitude is like muck.	ABUSE
Your words are like a child has written them.	ABUSE
Your voice is like a painful cry.	OTHER
Your reaction reminds me of opening champagne.	OTHER
You make me feel like dog poo. 	ABUSE
Your attitude is like a swamp.	ABUSE
Your room is like a bare canvas.	OTHER
You make me feel like the spectator of a car crash. 	OTHER
You are as modern as the stone age people.	OTHER
You cook like you dance. 	OTHER
You walk like your feet aren't attached to your legs.	ABUSE
Your words are like a punch to the gut.	OTHER
Your voice is like a cat has been strangled. 	ABUSE
Your clothes make me want to laugh. 	ABUSE
Your driving style reminds me of a grand prix on a good day.	OTHER
You cook like a refrigerator.	ABUSE
Your driving style reminds me of a glacier.	OTHER
Your voice is like a stream. 	OTHER
Your clothes make you appear twice your size.	ABUSE
Your clothes make you fill the room.	ABUSE
Your reaction reminds me of sleeping.	OTHER
Your words are like a baby's. 	OTHER
Your reaction reminds me of an actor. 	OTHER
Your garden is like an overgrown forest.	OTHER
Your hands are like shrivelled up, old prunes. 	ABUSE
Your voice is like a bell.	OTHER
Your reaction reminds me of nothing. 	OTHER
Your hands are like buckets.	ABUSE
You make me feel like hiding when you ring the doorbell.	ABUSE
Your room is like a dark hotel room.	OTHER
Your manners are as clear as a foggy day.	OTHER
You cook like you've never turned on an oven before.	ABUSE
You make me feel like a dustbin.	OTHER
You walk like a wrestler.	ABUSE
Your conversations are like a dull day. 	ABUSE
You cook like someone who is just starting to discover food.	OTHER
Your words are like those of someone who is just learning to read. 	ABUSE
Your driving style reminds me of a learner. 	OTHER
Your room is like a homeless person lives here. 	ABUSE
Your manners are as smooth as a crowd of football supporters.	OTHER
Your room is like a dirty drug den. 	ABUSE
Your driving style reminds me of a dodgem.	ABUSE
You cook like a blind man. 	ABUSE
You are as modern as an old person. 	ABUSE
Your reaction reminds me of a deflated balloon. 	OTHER
Your attitude is like pond slime.	OTHER
Your hands are like a ghost's.	OTHER
You are as thin as a piece of paper.	OTHER
You walk like you’ve taken a dump in your pants.	ABUSE
Talking to you is like listening to a bad song on repeat. 	ABUSE
You are as thin as a matchstick drawing.	ABUSE
You are as thin as a noodle. 	ABUSE
You walk like a model. 	OTHER
You cook like an old person without a brain. 	ABUSE
Your words are like icicles.	OTHER
You walk like you are treading on broken glass.	OTHER
You are as thin as papyrus.	ABUSE
Your responses are like someone who has just woken from a coma. 	ABUSE
Your hands are like paper.	OTHER
Your hands are like those of a china doll.	OTHER
You cook like you read the instructions backwards. 	ABUSE
Your conversations are like you are talking to people in a foreign language.	ABUSE
Your reaction reminds me of a jester.	OTHER
Your hands are like pieces of string.	ABUSE
Your driving style reminds me of a kangaroo on speed.	OTHER
Your words are like stains on a white sheet.	ABUSE
You make me feel like a wet blanket.	OTHER
Your attitude is like a thunder cloud.	OTHER
Your responses are so slow a snail could catch them.	OTHER
Your words make me feel like I'm being suffocated. 	OTHER
You cook like a hospital canteen on a bad day.	ABUSE
You are as thin as dirty, old dish water.	ABUSE
You are as modern as a Stone Age man's grandma. 	ABUSE
Your room is like a DIY project.	OTHER
You are as thin as a pencil. 	ABUSE
Your responses are like nothing I’ve ever seen.	OTHER
Your manners are like those of a German racing for a sun lounger.	ABUSE
Your clothes make me smile.	OTHER
Your conversations are like someone who is in the clouds.	OTHER
Your words are like stone. 	OTHER
Your words are like a knife. 	OTHER
You are as modern as the plague.	ABUSE
Your responses are like sandpaper.	OTHER
Your conversations are like a TV soap.	OTHER
Your garden is like a sewer. 	ABUSE
Your reaction reminds me of a mute.	ABUSE
Your voice is like a a drone. 	ABUSE
Your manners are as good as your golf skills. 	OTHER
Your attitude is like a broken umbrella.	OTHER
You are as modern as a hermit. 	OTHER
Your responses are like stones sinking to the bottom of a pond.	OTHER
You walk like someone walking through fire.	OTHER
Your room is like the inside of a sewer.	ABUSE
Your garden is like a forest.	OTHER
Your hands are like a witch's.	ABUSE
Your garden is like a refugee camp. 	ABUSE
Your voice is like a foghorn.	ABUSE
You make me feel like laughing.	OTHER
Your clothes make me want to go to a 70s disco night.	OTHER
Your voice is like a whisper.	OTHER
You are as thin as a ghost.	OTHER
You walk like someone who needs a rest.	ABUSE
Your room is like a partly complete show room. 	OTHER
You make me feel like I went to manners school.	OTHER
Your room is like a cesspit. 	ABUSE
Your room is like a padded cell.	ABUSE
Talking to you is like walking through treacle.	OTHER
You are as modern as the queen. 	OTHER
Your reaction reminds me of a drug user looking for heroin. 	ABUSE
